level,entering_vph,seed,policy,mean_delay,p50_delay,p95_delay,max_delay,mean_through_travel,p95_through_travel,mean_stops,mean_network_queue,max_network_queue,throughput_vph,residual,amb_corridor_time,amb_total_wait
0.6,769.0,9,fixed_coord,24.5141,23.6,44.3,60.6,36.8095,56.0,1.7649,5.013,14,727.2,8,24.5,10.1
0.6,769.0,10,relay_coupled,11.6697,10.6,23.8,35.6,25.1886,36.0,1.1631,2.3912,12,761.4,0,19.5,5.1
0.6,769.0,10,relay_isolated,11.6697,10.6,23.8,35.6,25.1886,36.0,1.1631,2.3912,12,761.4,0,19.5,5.1
0.6,769.0,10,fixed_webster,26.2078,26.6,46.8,63.1,38.5664,54.5,1.9593,5.5232,17,752.4,3,36.0,21.6
0.6,769.0,10,fixed_coord,25.3272,24.3,47.1,76.1,36.4176,54.5,1.7796,5.3295,15,759.6,4,24.5,10.1
0.6,769.0,11,relay_coupled,10.2395,9.6,19.6,34.8,24.1513,33.0,0.9486,1.91,10,700.2,1,23.0,8.6
0.6,769.0,11,relay_isolated,10.2344,9.6,19.6,34.8,24.1568,33.0,0.946,1.909,10,700.2,1,23.0,8.6
0.6,769.0,11,fixed_webster,26.6812,26.1,47.1,65.1,39.5674,55.5,1.9844,5.2302,15,691.2,5,36.0,21.6
0.6,769.0,11,fixed_coord,26.4403,24.6,52.1,91.1,36.8667,55.0,1.799,5.1478,15,698.4,4,24.5,10.1
0.6,769.0,12,relay_coupled,11.3748,9.8,21.1,34.8,25.051,34.5,1.1111,2.3245,9,761.4,2,20.5,6.1
0.6,769.0,12,relay_isolated,11.3748,9.8,21.1,34.8,25.051,34.5,1.1111,2.3245,9,761.4,2,20.5,6.1
0.6,769.0,12,fixed_webster,26.9796,27.1,45.1,60.8,40.2656,59.0,1.9614,5.675,19,747.0,6,36.0,21.6
0.6,769.0,12,fixed_coord,26.2061,25.1,49.1,74.1,38.3986,57.5,1.8048,5.5255,16,756.0,5,24.5,10.1
0.6,769.0,13,relay_coupled,12.3111,11.1,23.6,36.1,25.8086,37.0,1.2671,2.7785,11,842.4,2,25.0,10.6
0.6,769.0,13,relay_isolated,12.3228,11.1,23.6,31.6,25.8317,37.0,1.2714,2.7812,11,842.4,2,25.0,10.6
0.6,769.0,13,fixed_webster,28.3075,28.6,46.1,67.1,41.0,56.5,2.03,6.5637,19,838.8,3,36.0,21.6
0.6,769.0,13,fixed_coord,25.9136,25.1,50.1,82.6,36.4636,53.5,1.7983,6.014,17,838.8,5,24.5,10.1
0.6,769.0,14,relay_coupled,10.695,9.6,21.6,29.8,24.3207,35.0,0.969,2.1545,14,754.2,2,19.5,5.1
0.6,769.0,14,relay_isolated,10.695,9.6,21.6,29.8,24.3207,35.0,0.969,2.1545,14,754.2,2,19.5,5.1
