preset,clip,resolution,fps,frames,seconds,signalised,infer_ms_mean,infer_ms_sd,infer_ms_p95,infer_ms_max,throughput_fps,boxes_mean,boxes_max,phase_switches
levanhien,levanhien_suvanhanh_intersection_cctv.mp4,1280x720,30.0,1800,60.0,1,46.76,45.31,85.69,1734.77,21.39,9.77,18,3
hcmc,hcmc_intersection_cctv.mp4,1280x720,29.97,1798,60.0,0,87.6,30.05,136.88,349.65,11.42,26.61,41,0
