profile,level,total_demand_vph,seed,policy,mean_wait,p50_wait,p95_wait,max_wait,mean_queue,max_queue,throughput_vph,residual_queue,n_vehicles
asymmetric,0.6,766.8,17,relay,5.0919,4.5,11.5,22.5,1.129,7,804.0,0,332
asymmetric,0.6,766.8,17,fixed_equal,10.5437,9.0,23.5,34.0,2.3447,12,799.2,1,332
asymmetric,0.6,766.8,17,fixed_webster,8.4352,7.0,23.0,39.0,1.8777,9,804.0,0,332
asymmetric,0.6,766.8,18,relay,5.0544,4.0,12.5,21.0,1.1153,10,789.6,2,331
asymmetric,0.6,766.8,18,fixed_equal,12.0347,12.5,23.5,33.0,2.6557,10,787.2,3,331
asymmetric,0.6,766.8,18,fixed_webster,8.3943,6.0,24.0,42.0,1.8523,10,782.4,5,331
asymmetric,0.6,766.8,19,relay,5.2708,5.0,12.0,21.0,1.0963,7,741.6,3,312
asymmetric,0.6,766.8,19,fixed_equal,10.2965,9.0,23.5,25.5,2.162,9,751.2,1,312
asymmetric,0.6,766.8,19,fixed_webster,8.8782,7.5,21.5,41.5,1.8467,8,739.2,4,312
asymmetric,0.6,766.8,20,relay,4.7878,3.5,12.0,17.0,0.9957,7,744.0,2,311
asymmetric,0.6,766.8,20,fixed_equal,10.4068,9.0,23.5,27.0,2.1683,8,744.0,2,311
asymmetric,0.6,766.8,20,fixed_webster,7.6543,6.0,21.5,36.0,1.5987,8,751.2,2,311
asymmetric,0.6,766.8,21,relay,5.1735,3.5,12.5,23.5,1.182,10,818.4,2,340
asymmetric,0.6,766.8,21,fixed_equal,12.3824,12.0,24.0,35.5,2.841,15,818.4,2,340
asymmetric,0.6,766.8,21,fixed_webster,8.0662,4.5,20.0,62.5,1.8367,9,811.2,4,340
asymmetric,0.6,766.8,22,relay,5.2212,4.0,12.5,20.0,1.1487,6,794.4,0,330
asymmetric,0.6,766.8,22,fixed_equal,10.4818,9.5,23.5,26.5,2.3393,9,796.8,1,330
