t_s,infer_ms,n_boxes,phase,stage,n_W,pcu_W,n_E,pcu_E,det_car,det_motorcycle,det_bus,det_truck,det_ambulance,det_bicycle,det_autorickshaw
42.809,87.47,22,,,14.09,7.03,4.88,5.75,8,10,3,1,0,0,0
42.843,84.77,24,,,14.41,7.12,4.92,5.77,8,12,3,1,0,0,0
42.876,87.02,23,,,14.61,7.18,4.6,5.67,8,11,3,1,0,0,0
42.91,85.55,24,,,14.75,7.22,4.74,5.72,8,12,3,1,0,0,0
42.943,90.07,24,,,15.19,7.36,4.48,5.12,9,12,3,0,0,0,0
42.976,83.88,21,,,14.42,7.13,4.31,4.73,9,9,3,0,0,0,0
43.01,87.82,25,,,14.62,7.19,4.55,4.58,9,13,3,0,0,0,0
43.043,82.71,23,,,14.41,7.12,4.36,4.37,9,11,3,0,0,0,0
43.076,81.91,23,,,13.91,6.97,4.58,4.87,8,11,3,1,0,0,0
43.11,85.55,25,,,14.29,7.09,4.73,5.2,8,13,3,1,0,0,0
43.143,91.11,25,,,14.19,7.06,5.17,5.51,8,13,3,1,0,0,0
43.176,86.14,24,,,14.47,7.14,4.76,5.51,8,12,3,1,0,0,0
43.21,87.79,25,,,14.31,7.09,4.85,5.09,9,13,3,0,0,0,0
43.243,90.16,25,,,14.55,7.17,4.9,4.81,9,13,3,0,0,0,0
43.277,93.61,26,,,15.06,7.32,4.93,5.16,8,14,3,1,0,0,0
43.31,92.53,25,,,15.39,7.42,4.96,5.38,8,13,3,1,0,0,0
43.343,92.1,26,,,15.25,7.38,5.32,5.63,8,14,3,1,0,0,0
43.377,89.51,25,,,15.51,7.45,4.86,5.06,9,13,3,0,0,0,0
43.41,91.35,26,,,15.68,7.51,5.26,4.9,9,15,2,0,0,0,0
43.443,88.81,23,,,16.14,7.64,4.82,5.11,8,13,1,1,0,0,0
43.477,84.39,22,,,15.04,7.07,4.53,5.25,8,11,2,1,0,0,0
43.51,93.26,23,,,14.33,6.69,4.35,5.34,8,11,2,2,0,0,0
43.544,88.24,23,,,13.51,6.35,4.92,5.6,8,11,2,2,0,0,0
43.577,90.12,27,,,13.33,6.23,5.65,5.88,9,14,2,2,0,0,0
43.61,140.1,26,,,13.57,6.25,6.12,6.31,9,14,1,2,0,0,0
43.644,129.87,27,,,13.37,6.16,6.78,6.69,9,15,1,2,0,0,0
43.677,125.26,25,,,12.54,5.65,6.51,6.73,10,12,1,2,0,0,0
43.71,100.28,23,,,12.0,5.32,6.68,6.86,9,12,1,1,0,0,0
43.744,104.26,25,,,11.65,5.1,6.79,6.94,10,13,1,1,0,0,0
43.777,96.99,24,,,11.42,4.96,6.86,7.0,10,12,1,1,0,0,0
43.81,88.59,24,,,10.92,4.76,6.91,7.03,11,11,1,1,0,0,0
43.844,93.52,21,,,10.25,4.53,6.24,6.08,9,10,1,1,0,0,0
43.877,90.84,24,,,10.51,4.59,6.16,5.8,10,12,1,1,0,0,0
43.911,93.28,23,,,10.33,4.52,6.1,5.63,10,11,1,1,0,0,0
43.944,90.47,25,,,10.92,4.69,6.42,6.39,11,11,1,2,0,0,0
43.977,91.55,25,,,10.95,4.69,6.62,6.88,11,10,2,2,0,0,0
44.011,95.87,25,,,11.31,5.05,6.75,7.2,11,10,2,2,0,0,0
44.044,88.21,23,,,11.2,5.17,6.84,7.41,11,9,2,1,0,0,0
44.077,107.94,23,,,11.48,5.11,6.9,7.55,10,11,1,1,0,0,0
44.111,93.31,23,,,11.66,5.07,6.93,7.64,9,11,2,1,0,0,0
44.144,83.66,22,,,11.43,4.94,6.96,7.69,9,10,2,1,0,0,0
44.177,91.55,23,,,11.63,4.96,6.97,7.73,9,11,2,1,0,0,0
44.211,83.84,23,,,11.06,4.77,7.33,7.86,9,11,2,1,0,0,0
44.244,84.4,21,,,10.69,4.64,7.57,7.94,9,10,1,1,0,0,0
44.278,85.28,21,,,10.8,4.66,7.37,7.89,9,10,1,1,0,0,0
44.311,81.96,21,,,10.52,4.57,7.24,7.86,9,9,1,2,0,0,0
44.344,83.79,22,,,10.69,4.61,7.16,7.84,9,10,1,2,0,0,0
44.378,89.22,24,,,11.15,4.75,7.45,7.93,9,12,1,2,0,0,0
44.411,85.45,23,,,11.1,4.73,7.29,7.88,9,12,1,1,0,0,0
44.444,90.28,26,,,11.76,4.93,7.19,7.86,9,14,2,1,0,0,0
44.478,85.81,23,,,11.5,4.85,7.12,7.84,9,12,1,1,0,0,0
44.511,85.51,22,,,10.97,4.69,7.08,7.82,9,10,2,1,0,0,0
44.544,84.95,22,,,10.98,4.7,6.7,7.47,8,11,2,1,0,0,0
44.578,102.44,23,,,11.34,4.8,6.46,7.48,8,11,2,2,0,0,0
44.611,111.73,21,,,11.22,4.77,5.95,6.61,8,10,2,1,0,0,0
44.645,91.76,22,,,11.14,4.74,6.32,7.03,8,11,2,1,0,0,0
44.678,84.52,18,,,11.09,4.73,5.5,5.97,7,9,2,0,0,0,0
44.711,93.73,20,,,11.06,4.96,6.03,6.36,7,10,2,1,0,0,0
44.745,91.16,22,,,11.74,5.33,6.02,6.52,8,11,2,1,0,0,0
44.778,96.57,23,,,11.83,5.46,5.66,6.51,8,11,2,2,0,0,0
44.811,90.13,21,,,11.54,5.44,5.43,6.51,8,10,2,1,0,0,0
44.845,92.71,21,,,11.35,5.42,5.28,6.5,8,10,2,1,0,0,0
44.878,92.34,21,,,11.23,5.42,5.18,6.5,8,10,2,1,0,0,0
44.912,98.91,19,,,10.8,5.31,5.12,6.26,7,9,2,1,0,0,0
44.945,84.56,20,,,10.52,5.23,5.08,6.1,7,10,2,1,0,0,0
44.978,95.55,19,,,10.34,5.19,5.05,5.99,7,9,2,1,0,0,0
45.012,87.29,19,,,9.87,5.05,5.38,6.03,7,9,2,1,0,0,0
45.045,77.75,18,,,9.21,4.86,5.6,6.05,7,9,1,1,0,0,0
45.078,80.18,19,,,9.14,4.84,5.74,6.07,6,11,1,1,0,0,0
45.112,79.46,18,,,9.09,4.82,5.48,5.98,6,10,1,1,0,0,0
45.145,79.49,18,,,9.06,4.82,5.66,6.02,6,9,2,1,0,0,0
45.178,83.67,20,,,9.04,5.06,6.13,6.15,7,10,1,2,0,0,0
45.212,81.05,19,,,9.37,5.32,6.08,6.13,7,10,1,1,0,0,0
45.245,92.83,20,,,9.94,5.59,5.71,6.02,7,11,1,1,0,0,0
45.279,82.04,19,,,10.31,5.77,5.11,5.84,7,9,2,1,0,0,0
45.312,78.31,16,,,10.2,5.53,4.72,5.72,6,8,1,1,0,0,0
45.345,79.8,17,,,10.13,5.38,4.47,5.64,6,9,1,1,0,0,0
45.379,79.59,18,,,10.09,5.28,4.3,5.59,6,9,1,2,0,0,0
45.412,80.2,18,,,10.06,5.46,4.55,5.67,7,9,1,1,0,0,0
45.445,78.04,18,,,10.04,5.34,4.71,5.71,6,10,1,1,0,0,0
45.479,80.04,19,,,10.37,5.36,4.81,5.74,6,10,2,1,0,0,0
45.512,82.31,19,,,10.94,5.72,4.88,5.76,7,9,2,1,0,0,0
45.546,83.18,20,,,11.31,5.72,5.27,5.88,6,11,2,1,0,0,0
45.579,78.6,17,,,10.85,5.5,5.18,5.85,6,8,2,1,0,0,0
45.612,79.72,18,,,10.9,5.46,5.11,5.83,6,9,2,1,0,0,0
45.646,79.55,19,,,11.64,5.9,5.07,5.82,7,10,1,1,0,0,0
45.679,80.75,20,,,12.11,6.18,5.4,5.92,7,11,1,1,0,0,0
45.712,78.23,19,,,12.42,6.36,5.26,5.88,7,10,1,1,0,0,0
45.746,79.86,20,,,12.63,6.48,4.82,5.75,7,10,2,1,0,0,0
45.779,80.88,20,,,12.41,6.45,4.88,5.76,7,10,2,1,0,0,0
45.812,81.91,20,,,12.26,6.19,4.92,5.78,6,11,1,2,0,0,0
45.846,79.59,18,,,11.82,5.91,4.95,5.79,6,9,2,1,0,0,0
45.879,80.38,19,,,11.53,5.73,5.32,5.9,6,10,2,1,0,0,0
45.913,78.46,17,,,11.35,5.62,5.21,5.86,6,9,1,1,0,0,0
45.946,81.56,21,,,11.93,5.75,5.48,5.95,6,12,2,1,0,0,0
45.979,81.14,19,,,11.6,5.63,5.66,6.0,6,10,2,1,0,0,0
46.013,79.44,18,,,11.04,5.44,5.43,5.93,6,9,2,1,0,0,0
46.046,82.84,21,,,11.38,5.53,5.63,5.99,6,12,2,1,0,0,0
46.079,80.7,19,,,11.59,5.59,5.76,6.03,6,11,1,1,0,0,0
46.113,80.41,19,,,11.74,5.63,5.84,6.05,6,11,1,1,0,0,0
46.146,78.09,19,,,11.48,5.55,5.9,6.07,6,10,2,1,0,0,0
46.179,82.38,19,,,11.66,5.6,5.93,6.08,6,11,1,1,0,0,0
46.213,82.41,20,,,11.43,5.53,5.96,6.09,6,11,2,1,0,0,0
46.246,82.64,23,,,11.63,5.59,6.32,6.2,6,14,2,1,0,0,0
46.28,85.85,22,,,11.76,5.63,6.56,6.27,6,14,1,1,0,0,0
46.313,83.44,21,,,10.79,5.34,7.06,6.42,6,12,2,1,0,0,0
46.346,81.4,20,,,10.87,5.36,6.34,6.2,6,11,2,1,0,0,0
46.38,82.66,19,,,10.21,5.16,6.22,6.17,6,10,2,1,0,0,0
46.413,84.0,23,,,10.84,5.35,6.14,6.14,6,14,2,1,0,0,0
46.446,80.84,19,,,10.89,5.37,6.09,6.13,6,10,2,1,0,0,0
46.48,79.19,18,,,10.58,5.27,6.06,6.12,6,9,2,1,0,0,0
46.513,81.53,19,,,10.38,5.21,6.04,6.11,6,9,3,1,0,0,0
46.547,82.61,23,,,10.6,5.28,6.73,6.32,6,14,2,1,0,0,0
46.58,90.18,23,,,10.39,5.22,7.52,6.56,6,14,2,1,0,0,0
46.613,86.13,23,,,10.6,5.28,8.04,6.71,6,14,2,1,0,0,0
46.647,83.37,21,,,11.09,5.43,7.68,6.6,6,12,2,1,0,0,0
46.68,86.1,19,,,11.06,5.42,7.44,6.53,6,11,1,1,0,0,0
46.713,82.43,19,,,10.69,5.31,6.94,6.38,6,10,1,2,0,0,0
46.747,84.36,19,,,10.45,5.23,6.61,6.04,5,11,2,1,0,0,0
46.78,82.3,18,,,10.64,5.29,6.05,5.71,5,10,1,2,0,0,0
46.813,79.54,19,,,10.42,5.22,6.38,5.71,5,11,1,2,0,0,0
46.847,79.74,18,,,10.27,5.18,6.25,5.6,5,10,1,2,0,0,0
46.88,84.45,22,,,10.18,5.15,7.56,5.95,5,14,1,2,0,0,0
46.914,82.48,19,,,10.11,5.13,7.36,5.86,5,11,1,2,0,0,0
46.947,79.24,19,,,9.72,5.02,7.24,5.81,5,10,1,3,0,0,0
46.98,86.72,18,,,9.47,4.94,6.8,5.66,5,9,1,3,0,0,0
47.014,87.05,17,,,9.66,5.0,6.52,5.57,5,10,1,1,0,0,0
47.047,85.36,17,,,9.78,5.03,6.34,5.51,5,10,1,1,0,0,0
47.08,83.52,17,,,9.5,4.95,6.22,5.47,5,10,1,1,0,0,0
47.114,80.9,21,,,9.68,5.0,6.49,5.55,5,13,1,2,0,0,0
47.147,85.45,21,,,9.79,5.04,6.67,5.6,5,13,1,2,0,0,0
47.18,84.41,20,,,9.51,4.95,6.79,5.64,5,12,1,2,0,0,0
47.214,85.96,22,,,9.68,5.01,7.21,5.76,5,14,1,2,0,0,0
47.247,87.37,22,,,9.79,5.04,7.49,5.85,5,14,1,2,0,0,0
47.281,85.96,22,,,9.87,5.06,7.67,5.9,5,14,1,2,0,0,0
47.314,85.38,23,,,10.61,5.28,7.43,5.83,5,14,2,2,0,0,0
47.347,84.81,22,,,11.45,5.78,6.93,5.68,6,13,1,2,0,0,0
47.381,85.9,22,,,11.29,5.65,6.96,5.69,5,14,1,2,0,0,0
47.414,90.33,22,,,11.19,5.56,6.62,5.59,5,13,2,2,0,0,0
47.447,84.91,22,,,11.47,5.61,6.4,4.75,5,14,2,1,0,0,0
47.481,83.3,20,,,11.66,5.64,5.91,4.1,5,13,2,0,0,0,0
47.514,82.49,19,,,11.08,5.45,5.94,3.79,5,12,2,0,0,0,0
47.547,84.05,21,,,11.05,5.43,6.31,4.46,5,13,2,1,0,0,0
47.581,81.85,21,,,11.03,5.42,6.55,4.89,5,13,2,1,0,0,0
47.614,84.75,22,,,11.37,5.52,6.36,5.07,5,15,1,1,0,0,0
47.648,81.74,19,,,11.59,5.58,5.88,5.08,5,11,2,1,0,0,0
47.681,85.8,22,,,11.73,5.62,5.57,4.32,5,14,3,0,0,0,0
47.714,83.11,21,,,11.83,5.65,5.37,3.82,5,13,3,0,0,0,0
47.748,83.2,20,,,11.89,5.67,4.89,3.39,5,12,3,0,0,0,0
47.781,81.23,19,,,11.93,5.68,4.23,3.01,5,12,2,0,0,0,0
47.814,81.2,18,,,11.95,5.69,3.8,2.76,5,12,1,0,0,0,0
47.848,78.48,16,,,11.27,5.48,3.87,2.71,5,10,1,0,0,0,0
47.881,82.11,18,,,11.17,5.45,3.57,3.33,5,11,1,1,0,0,0
47.915,79.77,17,,,11.11,5.43,3.02,2.87,5,11,1,0,0,0,0
47.948,79.16,18,,,11.42,5.53,3.36,2.77,5,12,1,0,0,0,0
47.981,79.35,19,,,11.98,5.69,3.58,2.71,5,13,1,0,0,0,0
48.015,80.01,19,,,12.33,5.8,3.73,3.44,5,12,1,1,0,0,0
48.048,78.79,18,,,11.87,5.66,3.82,3.92,5,11,1,1,0,0,0
48.081,80.56,19,,,11.91,5.67,3.89,4.23,5,11,2,1,0,0,0
48.115,84.28,22,,,12.29,5.79,4.63,4.64,5,15,1,1,0,0,0
48.148,81.82,20,,,12.19,5.76,4.76,4.8,5,13,1,1,0,0,0
48.181,86.17,22,,,12.82,5.95,4.84,4.9,5,14,2,1,0,0,0
48.215,82.51,18,,,12.54,5.86,4.55,4.87,5,11,1,1,0,0,0
48.248,83.13,18,,,12.35,5.8,4.36,4.84,5,11,1,1,0,0,0
48.282,81.09,21,,,12.93,6.22,4.23,4.83,6,12,2,1,0,0,0
48.315,84.57,19,,,12.6,6.04,4.15,4.82,5,11,2,1,0,0,0
48.348,83.94,21,,,12.74,6.27,4.1,4.81,6,12,1,2,0,0,0
48.382,78.77,18,,,12.13,5.97,4.06,4.81,5,11,1,1,0,0,0
48.415,96.51,21,,,12.09,5.87,4.39,4.91,5,14,1,1,0,0,0
48.448,103.57,22,,,13.11,6.37,4.6,4.98,6,14,1,1,0,0,0
48.482,102.23,22,,,13.42,6.59,4.74,5.02,6,14,1,1,0,0,0
48.515,116.39,22,,,13.62,6.73,4.48,4.94,6,13,2,1,0,0,0
48.549,119.48,22,,,14.1,6.93,3.96,4.79,6,13,2,1,0,0,0
48.582,131.89,23,,,14.42,7.06,3.98,4.79,6,14,2,1,0,0,0
48.615,97.06,23,,,14.62,7.14,3.98,4.79,6,13,3,1,0,0,0
48.649,88.83,25,,,15.1,7.3,4.34,4.9,6,15,3,1,0,0,0
48.682,94.94,23,,,15.07,7.3,4.22,4.87,6,13,3,1,0,0,0
48.715,88.17,25,,,15.74,7.51,4.14,4.84,6,15,3,1,0,0,0
48.749,88.57,21,,,15.13,7.09,3.74,4.72,5,12,3,1,0,0,0
48.782,87.17,23,,,14.74,6.81,3.83,4.75,5,14,3,1,0,0,0
48.815,85.69,23,,,14.48,6.63,3.89,4.77,5,14,3,1,0,0,0
48.849,99.57,25,,,15.01,6.97,3.58,3.9,6,16,3,0,0,0,0
48.882,103.42,25,,,15.36,7.19,3.38,3.34,6,17,2,0,0,0,0
48.916,85.89,25,,,15.93,7.44,3.24,2.98,6,16,3,0,0,0,0
48.949,84.44,23,,,15.96,7.5,3.16,2.74,6,14,3,0,0,0,0
48.982,87.27,21,,,16.32,7.64,2.75,2.48,6,14,1,0,0,0,0
49.016,87.94,24,,,16.21,7.62,3.54,3.4,6,15,2,1,0,0,0
49.049,86.09,22,,,16.49,7.72,3.0,2.91,6,14,2,0,0,0,0
49.082,86.36,21,,,16.32,7.68,2.65,2.59,6,13,2,0,0,0,0
49.116,95.76,24,,,16.91,7.86,3.12,3.36,6,16,1,1,0,0,0
49.149,87.09,22,,,16.94,7.87,3.08,3.76,6,14,1,1,0,0,0
49.182,83.94,22,,,16.26,7.67,3.05,4.02,6,13,2,1,0,0,0
49.216,87.36,24,,,15.82,7.54,3.73,4.4,6,15,2,1,0,0,0
49.249,84.19,22,,,14.83,7.25,3.83,4.54,6,13,2,1,0,0,0
49.283,82.89,20,,,14.19,7.06,3.89,4.63,6,11,2,1,0,0,0
49.316,84.19,21,,,14.12,6.79,4.28,4.79,5,13,2,1,0,0,0
49.349,85.2,22,,,14.43,6.72,4.53,4.9,5,14,2,1,0,0,0
49.383,84.94,22,,,14.98,7.03,4.69,4.97,6,14,1,1,0,0,0
49.416,82.07,20,,,14.64,6.78,4.8,5.02,5,13,1,1,0,0,0
49.449,86.68,24,,,15.81,7.03,4.87,5.05,5,17,1,1,0,0,0
49.483,87.86,22,,,15.53,6.88,4.92,5.06,5,15,1,1,0,0,0
49.516,92.2,24,,,16.04,6.99,4.95,5.08,5,16,2,1,0,0,0
49.55,68.13,23,,,15.68,6.85,4.96,5.09,5,15,2,1,0,0,0
49.583,47.26,22,,,15.44,6.77,4.98,5.09,5,14,2,1,0,0,0
49.616,49.32,25,,,15.99,6.92,4.99,5.09,5,17,2,1,0,0,0
49.65,48.31,26,,,16.34,7.02,4.99,5.1,5,18,2,1,0,0,0
49.683,46.85,22,,,15.52,6.77,4.99,5.1,5,15,1,1,0,0,0
49.716,46.1,23,,,14.99,6.6,5.0,5.1,5,15,2,1,0,0,0
49.75,46.0,22,,,14.64,6.5,5.0,5.1,5,14,2,1,0,0,0
49.783,43.27,20,,,14.07,6.57,5.0,5.1,6,12,1,1,0,0,0
49.816,49.91,21,,,13.69,6.37,5.0,5.1,5,13,2,1,0,0,0
49.85,70.21,22,,,13.8,6.34,5.35,5.2,5,15,1,1,0,0,0
49.883,50.53,23,,,14.22,6.43,5.23,5.17,5,15,2,1,0,0,0
49.917,46.48,22,,,14.14,6.39,5.15,5.14,5,14,2,1,0,0,0
49.95,45.76,22,,,13.74,6.25,5.45,5.23,5,14,2,1,0,0,0
49.983,44.84,21,,,13.48,6.16,5.29,5.19,5,13,2,1,0,0,0
50.017,44.96,22,,,12.61,5.9,5.19,5.16,5,13,3,1,0,0,0
50.05,42.74,22,,,11.7,5.86,5.82,5.35,6,12,3,1,0,0,0
50.083,45.08,22,,,11.1,5.84,6.23,5.47,6,13,2,1,0,0,0
50.117,51.14,27,,,12.12,6.25,6.15,5.45,6,18,2,1,0,0,0
50.15,52.55,27,,,12.78,6.27,6.45,5.53,5,20,1,1,0,0,0
50.183,49.22,24,,,12.85,6.17,6.29,5.49,5,16,2,1,0,0,0
50.217,45.64,23,,,12.91,6.11,6.19,5.46,5,16,1,1,0,0,0
50.25,43.4,22,,,12.59,5.97,5.77,5.33,5,15,1,1,0,0,0
50.284,46.71,24,,,13.78,6.54,5.15,5.15,6,16,1,1,0,0,0
50.317,67.32,26,,,14.56,6.91,4.75,5.02,6,18,1,1,0,0,0
50.35,86.81,25,,,14.71,6.8,4.84,5.05,5,18,1,1,0,0,0
50.384,83.73,27,,,15.16,6.84,5.94,5.38,5,19,2,1,0,0,0
50.417,86.77,26,,,15.11,6.75,6.66,5.6,5,18,2,1,0,0,0
50.45,88.98,24,,,14.72,6.59,7.13,5.74,5,16,2,1,0,0,0
50.484,80.99,25,,,14.82,6.6,7.44,5.83,5,18,1,1,0,0,0
50.517,71.54,26,,,13.83,6.28,7.98,5.99,5,18,2,1,0,0,0
50.55,51.92,26,,,13.54,6.18,8.34,6.1,5,18,2,1,0,0,0
50.584,49.61,23,,,12.65,5.91,8.22,5.3,5,16,2,0,0,0,0
50.617,47.29,25,,,12.07,5.73,8.49,5.65,5,17,2,1,0,0,0
50.651,47.99,26,,,12.05,5.72,8.67,5.88,5,18,2,1,0,0,0
50.684,45.62,23,,,12.03,5.71,8.44,5.92,5,15,2,1,0,0,0
50.717,45.04,25,,,12.02,5.71,8.63,6.05,5,17,2,1,0,0,0
50.751,44.54,22,,,11.31,5.5,8.41,6.03,5,14,2,1,0,0,0
50.784,46.0,25,,,11.2,5.46,8.97,6.23,5,17,2,1,0,0,0
50.817,45.83,22,,,10.78,5.34,8.98,6.26,5,14,2,1,0,0,0
50.851,40.85,23,,,10.51,5.25,9.34,6.38,5,15,2,1,0,0,0
50.884,51.47,24,,,10.68,5.3,9.57,6.45,5,16,2,1,0,0,0
50.918,54.32,24,,,11.14,5.69,9.37,6.4,6,15,2,1,0,0,0
50.951,55.72,25,,,11.79,6.04,9.24,6.37,6,16,2,1,0,0,0
50.984,45.12,24,,,12.22,6.27,9.16,6.34,6,15,2,1,0,0,0
51.018,47.08,26,,,12.49,6.42,9.1,6.33,6,17,2,1,0,0,0
51.051,45.32,25,,,12.67,6.52,9.07,6.32,6,16,2,1,0,0,0
51.084,44.95,25,,,12.78,6.58,9.04,6.31,6,16,2,1,0,0,0
51.118,45.48,26,,,13.21,6.73,9.03,6.31,6,17,2,1,0,0,0
51.151,46.23,26,,,13.14,6.47,9.02,6.3,5,18,2,1,0,0,0
51.184,45.64,25,,,13.09,6.55,9.01,6.3,6,16,2,1,0,0,0
51.218,43.3,25,,,13.06,6.36,9.01,6.3,5,17,2,1,0,0,0
51.251,44.28,22,,,11.99,5.92,9.0,6.3,5,14,2,1,0,0,0
51.285,44.6,23,,,11.64,5.98,9.0,6.3,6,14,2,1,0,0,0
51.318,43.65,23,,,11.77,6.13,9.0,6.3,6,14,2,1,0,0,0
51.351,41.32,22,,,11.15,6.01,9.0,6.3,6,14,1,1,0,0,0
51.385,45.45,23,,,10.75,5.69,9.0,6.3,5,15,2,1,0,0,0
51.418,46.65,23,,,10.84,5.84,8.65,6.2,6,15,1,1,0,0,0
51.451,44.48,18,,,9.14,4.91,8.42,6.13,4,12,1,1,0,0,0
51.485,44.3,19,,,8.39,4.66,8.27,6.08,5,12,1,1,0,0,0
51.518,45.24,21,,,8.26,4.85,8.18,6.05,6,13,1,1,0,0,0
51.552,45.05,22,,,8.17,4.73,8.47,6.14,5,15,1,1,0,0,0
51.585,44.55,21,,,7.41,4.44,8.65,6.2,5,13,2,1,0,0,0
51.618,44.05,23,,,7.62,4.46,8.77,6.23,5,15,2,1,0,0,0
51.652,44.75,22,,,8.1,4.58,8.85,6.26,5,14,2,1,0,0,0
51.685,44.34,22,,,8.41,4.66,9.25,6.38,5,14,2,1,0,0,0
51.718,46.26,23,,,8.62,4.71,9.52,6.45,5,15,2,1,0,0,0
51.752,43.73,23,,,8.4,4.63,10.39,6.72,5,15,2,1,0,0,0
51.785,43.46,22,,,8.61,4.94,9.9,6.57,6,13,2,1,0,0,0
51.818,46.77,25,,,9.45,5.34,10.29,6.69,6,16,2,1,0,0,0
51.852,44.94,22,,,9.29,5.15,10.19,6.66,5,14,2,1,0,0,0
51.885,44.61,22,,,9.19,5.03,10.12,6.64,5,14,2,1,0,0,0
51.919,44.14,23,,,9.12,4.95,10.43,6.73,5,15,2,1,0,0,0
51.952,47.01,23,,,9.43,5.25,10.63,6.79,6,15,1,1,0,0,0
51.985,44.62,22,,,9.28,5.09,10.76,6.83,5,15,1,1,0,0,0
52.019,44.78,22,,,9.53,5.34,10.49,6.75,6,14,1,1,0,0,0
52.052,44.24,21,,,9.35,5.4,10.32,6.7,6,13,1,1,0,0,0
52.085,45.09,23,,,9.22,5.43,10.91,6.87,6,15,1,1,0,0,0
52.119,47.29,25,,,9.85,5.67,10.94,6.88,6,16,2,1,0,0,0
52.152,48.39,25,,,9.9,5.71,11.31,6.99,7,16,1,1,0,0,0
52.185,48.07,26,,,9.93,5.74,11.55,7.07,7,17,1,1,0,0,0
52.219,49.09,25,,,9.96,5.76,11.36,7.01,7,16,1,1,0,0,0
52.252,47.73,27,,,9.97,5.53,11.93,7.18,6,18,2,1,0,0,0
52.286,49.18,26,,,9.98,5.63,11.96,7.19,7,17,1,1,0,0,0
52.319,46.92,27,,,10.34,5.79,11.62,7.09,7,17,2,1,0,0,0
52.352,46.68,25,,,9.52,5.09,11.4,6.78,5,17,2,1,0,0,0
52.386,50.3,27,,,9.34,4.99,10.91,6.47,6,18,2,1,0,0,0
52.419,48.53,26,,,9.22,4.68,10.59,6.27,5,18,2,1,0,0,0
52.452,48.56,25,,,9.49,4.58,10.04,6.04,5,17,2,1,0,0,0
52.486,49.34,25,,,9.67,4.76,9.67,5.88,6,16,2,1,0,0,0
52.519,45.8,23,,,9.09,4.67,9.79,6.13,6,14,2,1,0,0,0
52.553,47.55,25,,,10.46,5.38,9.16,6.09,7,15,2,1,0,0,0
52.586,44.04,19,,,9.25,4.97,9.11,6.16,6,11,1,1,0,0,0
52.619,47.13,24,,,9.51,5.01,9.42,6.32,6,16,1,1,0,0,0
52.653,44.04,25,,,9.33,4.94,9.97,6.52,6,17,1,1,0,0,0
52.686,78.25,22,,,8.87,4.79,10.33,6.65,6,14,1,1,0,0,0
52.719,80.96,20,,,8.56,4.69,10.22,6.63,6,12,1,1,0,0,0
52.753,85.58,23,,,9.07,4.83,10.14,6.62,6,15,1,1,0,0,0
52.786,71.77,22,,,9.39,5.17,10.09,6.61,6,14,1,1,0,0,0
52.819,49.13,24,,,9.61,5.15,10.41,6.71,7,15,1,1,0,0,0
52.853,46.86,23,,,9.74,5.13,10.27,6.67,7,14,1,1,0,0,0
52.886,47.22,24,,,9.83,5.12,10.17,6.65,7,15,1,1,0,0,0
52.92,43.95,25,,,10.24,5.22,9.41,6.42,7,16,1,1,0,0,0
52.953,47.64,25,,,10.16,5.42,9.62,6.48,7,16,1,1,0,0,0
52.986,44.91,23,,,9.75,5.45,9.75,6.52,7,14,1,1,0,0,0
53.02,44.63,23,,,9.49,5.47,9.14,6.34,7,14,1,1,0,0,0
53.053,43.1,20,,,8.97,5.13,8.74,6.22,6,12,1,1,0,0,0
53.086,46.32,22,,,8.98,5.01,8.48,6.14,6,14,1,1,0,0,0
53.12,43.58,20,,,8.64,4.83,8.31,6.09,6,12,1,1,0,0,0
53.153,47.02,24,,,9.46,5.28,8.55,6.17,7,15,1,1,0,0,0
53.186,47.93,25,,,10.35,5.43,8.71,6.21,6,17,1,1,0,0,0
53.22,48.47,26,,,11.28,5.87,9.16,6.35,7,17,1,1,0,0,0
53.253,48.37,24,,,11.18,5.95,9.1,6.33,7,15,1,1,0,0,0
53.287,48.62,25,,,10.77,5.65,9.42,6.43,6,17,1,1,0,0,0
53.32,49.61,25,,,10.5,5.46,9.97,6.59,6,17,1,1,0,0,0
53.353,85.29,26,,,10.32,5.33,10.68,6.8,6,18,1,1,0,0,0
53.387,87.26,29,,,11.26,5.81,11.14,6.94,7,20,1,1,0,0,0
53.42,90.68,27,,,11.52,6.02,11.09,6.93,7,18,1,1,0,0,0
53.453,70.92,24,,,10.99,5.7,10.71,6.81,5,17,1,1,0,0,0
53.487,51.79,26,,,10.99,5.84,10.81,6.84,7,17,1,1,0,0,0
53.52,50.99,26,,,11.34,5.79,10.53,6.76,6,18,1,1,0,0,0
53.553,46.27,23,,,10.52,5.44,10.34,6.7,6,15,1,1,0,0,0
53.587,48.61,24,,,9.64,5.36,10.57,6.77,6,15,2,1,0,0,0
53.62,51.53,26,,,9.77,5.51,11.07,6.92,6,18,1,1,0,0,0
53.654,46.89,23,,,9.5,5.51,10.7,6.81,6,15,1,1,0,0,0
53.687,51.97,25,,,8.97,5.16,10.8,6.84,5,17,2,1,0,0,0
53.72,47.47,23,,,8.63,4.93,10.52,6.76,5,16,1,1,0,0,0
53.754,48.44,24,,,8.41,4.78,10.69,6.81,5,17,1,1,0,0,0
53.787,46.82,26,,,9.32,4.99,10.45,6.73,5,19,1,1,0,0,0
53.82,51.64,29,,,9.91,5.38,10.99,6.9,6,21,1,1,0,0,0
